product_id,batch_number,quantity_remaining,expiry_date,purchase_date
2,B2_20231120,1495,2024-05-18,2023-11-20
2,B2_20240210,1791,2024-08-08,2024-02-10
3,B3_20231019,716,2024-04-16,2023-10-19
3,B3_20231206,802,2024-06-03,2023-12-06
3,B3_20240122,752,2024-07-20,2024-01-22
3,B3_20240311,786,2024-09-07,2024-03-11
4,B4_20231027,886,2024-04-24,2023-10-27
4,B4_20231209,890,2024-06-06,2023-12-09
4,B4_20240118,781,2024-07-16,2024-01-18
4,B4_20240225,866,2024-08-23,2024-02-25
5,B5_20231030,568,2024-04-27,2023-10-30
5,B5_20231213,553,2024-06-10,2023-12-13
5,B5_20240124,668,2024-07-22,2024-01-24
5,B5_20240301,525,2024-08-28,2024-03-01
6,B6_20231125,1474,2024-05-23,2023-11-25
6,B6_20240203,1208,2024-08-01,2024-02-03
7,B7_20231221,910,2024-06-18,2023-12-21
7,B7_20240304,969,2024-08-31,2024-03-04
8,B8_20231117,1129,2024-05-15,2023-11-17
8,B8_20240121,1334,2024-07-19,2024-01-21
9,B9_20231005,599,2024-04-02,2023-10-05
9,B9_20231115,789,2024-05-13,2023-11-15
9,B9_20240104,719,2024-07-02,2024-01-04
9,B9_20240223,851,2024-08-21,2024-02-23
10,B10_20240118,299,2024-07-16,2024-01-18
10,B10_20240211,582,2024-08-09,2024-02-11
10,B10_20240302,501,2024-08-29,2024-03-02
10,B10_20240326,483,2024-09-22,2024-03-26
11,B11_20231225,90,2024-06-22,2023-12-25
11,B11_20240117,587,2024-07-15,2024-01-17
11,B11_20240207,546,2024-08-05,2024-02-07
11,B11_20240301,479,2024-08-28,2024-03-01
11,B11_20240325,462,2024-09-21,2024-03-25
12,B12_20231202,1110,2024-05-30,2023-12-02
12,B12_20240208,871,2024-08-06,2024-02-08
13,B13_20240112,44,2024-07-10,2024-01-12
13,B13_20240226,397,2024-08-24,2024-02-26
14,B14_20240120,569,2024-07-18,2024-01-20
14,B14_20240308,610,2024-09-04,2024-03-08
17,B17_20231106,621,2024-05-04,2023-11-06
17,B17_20231217,761,2024-06-14,2023-12-17
17,B17_20240202,821,2024-07-31,2024-02-02
17,B17_20240313,807,2024-09-09,2024-03-13
