product_id,product_name,category,brand,unit_size,mrp,purchase_price,margin_percent,shelf_life_days,movement_type
1,CrispBite Biscuits 200g,Biscuits,CrispBite,200g,47.91,42.31,11.69,180,Fast
2,CrispBite Biscuits 200g,Biscuits,CrispBite,200g,19.59,18.01,8.08,180,Slow
3,GoldenCrunch Biscuits 100g,Biscuits,GoldenCrunch,100g,15.78,14.37,8.96,180,Medium
4,DailyTreat Biscuits 50g,Biscuits,DailyTreat,50g,8.85,7.97,9.94,180,Medium
5,CrispBite Biscuits 200g,Biscuits,CrispBite,200g,39.46,36.1,8.51,180,Medium
6,GoldenCrunch Biscuits 200g,Biscuits,GoldenCrunch,200g,12.43,11.17,10.11,180,Slow
7,DailyTreat Biscuits 100g,Biscuits,DailyTreat,100g,48.4,42.73,11.72,180,Slow
8,DailyTreat Biscuits 200g,Biscuits,DailyTreat,200g,14.05,12.75,9.25,180,Slow
9,DailyTreat Biscuits 200g,Biscuits,DailyTreat,200g,21.8,19.27,11.6,180,Medium
10,GoldenCrunch Biscuits 50g,Biscuits,GoldenCrunch,50g,16.16,14.83,8.26,180,Fast
11,CrispBite Biscuits 200g,Biscuits,CrispBite,200g,29.93,26.83,10.35,180,Fast
12,CrispBite Biscuits 50g,Biscuits,CrispBite,50g,36.85,33.81,8.24,180,Slow
13,CrispBite Biscuits 50g,Biscuits,CrispBite,50g,43.68,40.06,8.28,180,Medium
14,CrispBite Biscuits 100g,Biscuits,CrispBite,100g,35.1,31.99,8.86,180,Medium
15,CrispBite Biscuits 200g,Biscuits,CrispBite,200g,47.1,42.26,10.28,180,Fast
16,GoldenCrunch Biscuits 50g,Biscuits,GoldenCrunch,50g,40.31,35.78,11.23,180,Fast
17,CrispBite Biscuits 50g,Biscuits,CrispBite,50g,9.36,8.45,9.72,180,Medium
18,GoldenCrunch Biscuits 100g,Biscuits,GoldenCrunch,100g,26.02,23.18,10.92,180,Slow
19,DailyTreat Biscuits 200g,Biscuits,DailyTreat,200g,49.29,45.15,8.39,180,Medium
20,GoldenCrunch Biscuits 200g,Biscuits,GoldenCrunch,200g,20.27,17.95,11.45,180,Medium
21,CrispBite Biscuits 50g,Biscuits,CrispBite,50g,13.56,12.23,9.79,180,Medium
22,GoldenCrunch Biscuits 50g,Biscuits,GoldenCrunch,50g,17.53,15.95,9.0,180,Medium
23,CrispBite Biscuits 100g,Biscuits,CrispBite,100g,41.36,36.64,11.42,180,Medium
24,CrispBite Biscuits 50g,Biscuits,CrispBite,50g,34.35,30.86,10.16,180,Medium
25,CrispBite Biscuits 50g,Biscuits,CrispBite,50g,46.69,41.37,11.39,180,Medium
26,CrispBite Biscuits 100g,Biscuits,CrispBite,100g,26.85,24.47,8.85,180,Fast
27,GoldenCrunch Biscuits 50g,Biscuits,GoldenCrunch,50g,12.41,11.42,8.01,180,Fast
28,GoldenCrunch Biscuits 100g,Biscuits,GoldenCrunch,100g,46.69,41.49,11.14,180,Medium
29,GoldenCrunch Biscuits 100g,Biscuits,GoldenCrunch,100g,36.35,32.38,10.92,180,Slow
30,DailyTreat Biscuits 200g,Biscuits,DailyTreat,200g,37.33,34.11,8.62,180,Medium
31,GoldenCrunch Biscuits 50g,Biscuits,GoldenCrunch,50g,48.59,43.58,10.32,180,Fast
32,DailyTreat Biscuits 50g,Biscuits,DailyTreat,50g,38.66,35.48,8.23,180,Medium
33,DailyTreat Biscuits 100g,Biscuits,DailyTreat,100g,27.63,24.48,11.41,180,Medium
34,CrispBite Biscuits 50g,Biscuits,CrispBite,50g,48.24,44.23,8.32,180,Medium
35,CrispBite Biscuits 50g,Biscuits,CrispBite,50g,31.78,28.38,10.7,180,Medium
36,CrispBite Biscuits 100g,Biscuits,CrispBite,100g,10.39,9.19,11.56,180,Medium
37,CrispBite Biscuits 200g,Biscuits,CrispBite,200g,31.75,28.42,10.48,180,Slow
38,GoldenCrunch Biscuits 200g,Biscuits,GoldenCrunch,200g,31.27,28.11,10.09,180,Medium
39,GoldenCrunch Biscuits 50g,Biscuits,GoldenCrunch,50g,35.14,31.89,9.26,180,Fast
40,GoldenCrunch Biscuits 100g,Biscuits,GoldenCrunch,100g,10.89,9.74,10.58,180,Slow
41,SpiceMunch Snacks 60g,Snacks,SpiceMunch,60g,56.45,48.16,14.68,120,Slow
42,CrunchyKing Snacks 60g,Snacks,CrunchyKing,60g,41.06,35.8,12.81,120,Fast
43,CrunchyKing Snacks 30g,Snacks,CrunchyKing,30g,36.88,32.26,12.53,120,Slow
44,CrunchyKing Snacks 60g,Snacks,CrunchyKing,60g,54.04,46.26,14.4,120,Fast
45,SpiceMunch Snacks 60g,Snacks,SpiceMunch,60g,17.89,15.35,14.17,120,Slow
46,TastyWave Snacks 60g,Snacks,TastyWave,60g,40.58,34.52,14.94,120,Slow
47,TastyWave Snacks 150g,Snacks,TastyWave,150g,10.39,8.93,14.09,120,Medium
48,SpiceMunch Snacks 150g,Snacks,SpiceMunch,150g,15.18,13.0,14.39,120,Medium
49,SpiceMunch Snacks 30g,Snacks,SpiceMunch,30g,54.49,47.02,13.71,120,Medium
50,CrunchyKing Snacks 60g,Snacks,CrunchyKing,60g,24.09,21.43,11.05,120,Medium
51,SpiceMunch Snacks 30g,Snacks,SpiceMunch,30g,44.37,38.04,14.26,120,Medium
52,TastyWave Snacks 60g,Snacks,TastyWave,60g,22.56,19.28,14.54,120,Slow
53,CrunchyKing Snacks 30g,Snacks,CrunchyKing,30g,41.71,35.81,14.15,120,Medium
54,CrunchyKing Snacks 30g,Snacks,CrunchyKing,30g,26.68,23.84,10.65,120,Medium
55,SpiceMunch Snacks 30g,Snacks,SpiceMunch,30g,47.06,41.06,12.76,120,Slow
56,SpiceMunch Snacks 150g,Snacks,SpiceMunch,150g,10.48,9.39,10.38,120,Slow
57,TastyWave Snacks 30g,Snacks,TastyWave,30g,37.28,32.0,14.17,120,Fast
58,TastyWave Snacks 150g,Snacks,TastyWave,150g,17.4,15.55,10.64,120,Slow
59,SpiceMunch Snacks 60g,Snacks,SpiceMunch,60g,54.95,47.27,13.98,120,Medium
60,CrunchyKing Snacks 60g,Snacks,CrunchyKing,60g,20.5,18.19,11.25,120,Medium
61,CrunchyKing Snacks 60g,Snacks,CrunchyKing,60g,49.01,41.94,14.42,120,Medium
62,SpiceMunch Snacks 150g,Snacks,SpiceMunch,150g,47.47,40.53,14.63,120,Slow
