purchase_id,product_id,supplier_id,purchase_date,batch_number,expiry_date,quantity_purchased,purchase_price
1,1,1,2023-04-01,B1_20230401,2023-09-28,439,42.31
2,1,1,2023-04-24,B1_20230424,2023-10-21,409,42.31
3,1,1,2023-05-13,B1_20230513,2023-11-09,345,42.31
4,1,1,2023-06-03,B1_20230603,2023-11-30,432,42.31
5,1,1,2023-06-22,B1_20230622,2023-12-19,442,42.31
6,1,1,2023-07-11,B1_20230711,2024-01-07,385,42.31
7,1,1,2023-08-05,B1_20230805,2024-02-01,416,42.31
8,1,1,2023-08-28,B1_20230828,2024-02-24,359,42.31
9,1,1,2023-09-20,B1_20230920,2024-03-18,365,42.31
10,1,1,2023-10-12,B1_20231012,2024-04-09,424,42.31
11,1,1,2023-10-31,B1_20231031,2024-04-28,413,42.31
12,1,1,2023-11-20,B1_20231120,2024-05-18,404,42.31
13,1,1,2023-12-11,B1_20231211,2024-06-08,359,42.31
14,1,1,2024-01-04,B1_20240104,2024-07-02,372,42.31
15,1,1,2024-01-25,B1_20240125,2024-07-23,422,42.31
16,1,1,2024-02-12,B1_20240212,2024-08-10,367,42.31
17,1,1,2024-03-01,B1_20240301,2024-08-28,436,42.31
18,1,1,2024-03-25,B1_20240325,2024-09-21,372,42.31
19,2,1,2023-04-01,B2_20230401,2023-09-28,1950,18.01
20,2,1,2023-06-27,B2_20230627,2023-12-24,1655,18.01
21,2,1,2023-09-12,B2_20230912,2024-03-10,1952,18.01
22,2,1,2023-11-20,B2_20231120,2024-05-18,1555,18.01
23,2,1,2024-02-10,B2_20240210,2024-08-08,1791,18.01
24,3,2,2023-04-01,B3_20230401,2023-09-28,873,14.37
25,3,2,2023-05-18,B3_20230518,2023-11-14,747,14.37
26,3,2,2023-06-26,B3_20230626,2023-12-23,782,14.37
27,3,2,2023-08-02,B3_20230802,2024-01-29,839,14.37
28,3,2,2023-09-09,B3_20230909,2024-03-07,698,14.37
29,3,2,2023-10-19,B3_20231019,2024-04-16,848,14.37
30,3,2,2023-12-06,B3_20231206,2024-06-03,802,14.37
31,3,2,2024-01-22,B3_20240122,2024-07-20,752,14.37
32,3,2,2024-03-11,B3_20240311,2024-09-07,786,14.37
33,4,3,2023-04-01,B4_20230401,2023-09-28,822,7.97
34,4,3,2023-05-09,B4_20230509,2023-11-05,822,7.97
35,4,3,2023-06-21,B4_20230621,2023-12-18,842,7.97
36,4,3,2023-08-05,B4_20230805,2024-02-01,689,7.97
37,4,3,2023-09-22,B4_20230922,2024-03-20,700,7.97
38,4,3,2023-10-27,B4_20231027,2024-04-24,886,7.97
39,4,3,2023-12-09,B4_20231209,2024-06-06,890,7.97
40,4,3,2024-01-18,B4_20240118,2024-07-16,781,7.97
41,4,3,2024-02-25,B4_20240225,2024-08-23,866,7.97
42,5,1,2023-04-01,B5_20230401,2023-09-28,661,36.1
43,5,1,2023-05-12,B5_20230512,2023-11-08,537,36.1
44,5,1,2023-06-21,B5_20230621,2023-12-18,607,36.1
45,5,1,2023-07-26,B5_20230726,2024-01-22,617,36.1
46,5,1,2023-09-14,B5_20230914,2024-03-12,513,36.1
47,5,1,2023-10-30,B5_20231030,2024-04-27,668,36.1
48,5,1,2023-12-13,B5_20231213,2024-06-10,553,36.1
49,5,1,2024-01-24,B5_20240124,2024-07-22,668,36.1
50,5,1,2024-03-01,B5_20240301,2024-08-28,525,36.1
51,6,2,2023-04-01,B6_20230401,2023-09-28,1423,11.17
52,6,2,2023-06-29,B6_20230629,2023-12-26,1312,11.17
53,6,2,2023-09-06,B6_20230906,2024-03-04,1155,11.17
54,6,2,2023-11-25,B6_20231125,2024-05-23,1474,11.17
55,6,2,2024-02-03,B6_20240203,2024-08-01,1208,11.17
56,7,3,2023-04-01,B7_20230401,2023-09-28,1031,42.73
57,7,3,2023-07-05,B7_20230705,2024-01-01,913,42.73
58,7,3,2023-09-25,B7_20230925,2024-03-23,1076,42.73
59,7,3,2023-12-21,B7_20231221,2024-06-18,910,42.73
60,7,3,2024-03-04,B7_20240304,2024-08-31,969,42.73
61,8,3,2023-04-01,B8_20230401,2023-09-28,1358,12.75
62,8,3,2023-06-19,B8_20230619,2023-12-16,1455,12.75
63,8,3,2023-09-06,B8_20230906,2024-03-04,1152,12.75
64,8,3,2023-11-17,B8_20231117,2024-05-15,1129,12.75
65,8,3,2024-01-21,B8_20240121,2024-07-19,1334,12.75
66,9,3,2023-04-01,B9_20230401,2023-09-28,800,19.27
67,9,3,2023-05-06,B9_20230506,2023-11-02,679,19.27
68,9,3,2023-06-11,B9_20230611,2023-12-08,716,19.27
69,9,3,2023-07-17,B9_20230717,2024-01-13,864,19.27
70,9,3,2023-08-23,B9_20230823,2024-02-19,783,19.27
71,9,3,2023-10-05,B9_20231005,2024-04-02,819,19.27
72,9,3,2023-11-15,B9_20231115,2024-05-13,789,19.27
73,9,3,2024-01-04,B9_20240104,2024-07-02,719,19.27
74,9,3,2024-02-23,B9_20240223,2024-08-21,851,19.27
75,10,2,2023-04-01,B10_20230401,2023-09-28,456,14.83
76,10,2,2023-04-25,B10_20230425,2023-10-22,497,14.83
77,10,2,2023-05-19,B10_20230519,2023-11-15,514,14.83
78,10,2,2023-06-06,B10_20230606,2023-12-03,547,14.83
