retailer_id,retailer_name,city,retailer_type
1,Faridabad_Supermarket_1,Faridabad,Supermarket
2,Delhi_Kirana_2,Delhi,Kirana
3,Ghaziabad_Supermarket_3,Ghaziabad,Supermarket
4,Delhi_Kirana_4,Delhi,Kirana
5,Delhi_Kirana_5,Delhi,Kirana
6,Faridabad_Kirana_6,Faridabad,Kirana
7,Gurugram_Wholesaler_7,Gurugram,Wholesaler
8,Noida_Supermarket_8,Noida,Supermarket
9,Delhi_Kirana_9,Delhi,Kirana
10,Noida_Supermarket_10,Noida,Supermarket
11,Gurugram_Supermarket_11,Gurugram,Supermarket
12,Ghaziabad_Kirana_12,Ghaziabad,Kirana
13,Gurugram_Kirana_13,Gurugram,Kirana
14,Gurugram_Kirana_14,Gurugram,Kirana
15,Gurugram_Supermarket_15,Gurugram,Supermarket
16,Noida_Supermarket_16,Noida,Supermarket
17,Faridabad_Kirana_17,Faridabad,Kirana
18,Delhi_Kirana_18,Delhi,Kirana
19,Delhi_Supermarket_19,Delhi,Supermarket
20,Delhi_Supermarket_20,Delhi,Supermarket
21,Delhi_Kirana_21,Delhi,Kirana
22,Faridabad_Wholesaler_22,Faridabad,Wholesaler
23,Jaipur_Supermarket_23,Jaipur,Supermarket
24,Delhi_Kirana_24,Delhi,Kirana
25,Jaipur_Kirana_25,Jaipur,Kirana
26,Delhi_Wholesaler_26,Delhi,Wholesaler
27,Gurugram_Kirana_27,Gurugram,Kirana
28,Gurugram_Kirana_28,Gurugram,Kirana
29,Delhi_Wholesaler_29,Delhi,Wholesaler
30,Faridabad_Supermarket_30,Faridabad,Supermarket
31,Ghaziabad_Kirana_31,Ghaziabad,Kirana
32,Delhi_Supermarket_32,Delhi,Supermarket
33,Delhi_Supermarket_33,Delhi,Supermarket
34,Delhi_Supermarket_34,Delhi,Supermarket
35,Delhi_Supermarket_35,Delhi,Supermarket
36,Noida_Kirana_36,Noida,Kirana
37,Delhi_Kirana_37,Delhi,Kirana
38,Delhi_Kirana_38,Delhi,Kirana
39,Jaipur_Kirana_39,Jaipur,Kirana
40,Noida_Supermarket_40,Noida,Supermarket
41,Jaipur_Wholesaler_41,Jaipur,Wholesaler
42,Ghaziabad_Supermarket_42,Ghaziabad,Supermarket
43,Gurugram_Kirana_43,Gurugram,Kirana
44,Gurugram_Kirana_44,Gurugram,Kirana
45,Noida_Kirana_45,Noida,Kirana
46,Noida_Kirana_46,Noida,Kirana
47,Delhi_Supermarket_47,Delhi,Supermarket
48,Gurugram_Kirana_48,Gurugram,Kirana
49,Delhi_Kirana_49,Delhi,Kirana
50,Gurugram_Supermarket_50,Gurugram,Supermarket
51,Ghaziabad_Kirana_51,Ghaziabad,Kirana
52,Delhi_Wholesaler_52,Delhi,Wholesaler
53,Delhi_Wholesaler_53,Delhi,Wholesaler
54,Delhi_Kirana_54,Delhi,Kirana
55,Ghaziabad_Supermarket_55,Ghaziabad,Supermarket
56,Delhi_Kirana_56,Delhi,Kirana
57,Ghaziabad_Kirana_57,Ghaziabad,Kirana
58,Ghaziabad_Kirana_58,Ghaziabad,Kirana
59,Gurugram_Kirana_59,Gurugram,Kirana
60,Delhi_Supermarket_60,Delhi,Supermarket
61,Noida_Kirana_61,Noida,Kirana
62,Delhi_Supermarket_62,Delhi,Supermarket
63,Gurugram_Supermarket_63,Gurugram,Supermarket
64,Jaipur_Supermarket_64,Jaipur,Supermarket
65,Gurugram_Kirana_65,Gurugram,Kirana
66,Delhi_Supermarket_66,Delhi,Supermarket
