sales_id,product_id,sale_date,retailer_id,quantity_sold,selling_price
1,1,2023-04-03,85,327,45.19
2,4,2023-04-03,15,156,8.15
3,5,2023-04-03,189,81,38.19
4,6,2023-04-03,64,100,11.51
5,7,2023-04-03,207,39,46.46
6,8,2023-04-03,19,36,13.62
7,9,2023-04-03,189,46,20.25
8,10,2023-04-03,42,225,15.26
9,11,2023-04-03,136,132,27.55
10,13,2023-04-03,91,297,41.69
11,15,2023-04-03,55,223,45.31
12,16,2023-04-03,153,258,38.8
13,17,2023-04-03,140,171,8.72
14,19,2023-04-03,197,64,46.44
15,22,2023-04-03,2,55,16.82
16,23,2023-04-03,93,80,39.4
17,24,2023-04-03,99,61,33.05
18,26,2023-04-03,98,126,24.7
19,27,2023-04-03,54,117,11.45
20,29,2023-04-03,66,64,33.66
21,30,2023-04-03,148,95,34.54
22,31,2023-04-03,217,95,45.03
23,35,2023-04-03,42,151,29.4
24,40,2023-04-03,220,32,10.18
25,42,2023-04-03,131,192,39.18
26,44,2023-04-03,140,183,51.64
27,48,2023-04-03,54,94,13.98
28,49,2023-04-03,76,82,52.81
29,51,2023-04-03,155,58,42.63
30,53,2023-04-03,218,87,40.01
31,56,2023-04-03,6,53,10.03
32,57,2023-04-03,179,408,34.98
33,59,2023-04-03,39,52,51.07
34,60,2023-04-03,124,72,19.43
35,65,2023-04-03,154,147,49.14
36,66,2023-04-03,37,43,47.36
37,67,2023-04-03,98,149,20.36
38,68,2023-04-03,206,61,24.5
39,69,2023-04-03,195,91,10.42
40,70,2023-04-03,209,294,51.32
41,72,2023-04-03,163,149,53.87
42,73,2023-04-03,66,127,36.53
43,74,2023-04-03,156,48,37.71
44,79,2023-04-03,10,180,29.76
45,80,2023-04-03,111,15,24.36
46,82,2023-04-03,9,137,42.14
47,84,2023-04-03,214,85,37.73
48,86,2023-04-03,14,99,165.25
49,87,2023-04-03,131,174,114.01
50,90,2023-04-03,59,40,120.19
51,91,2023-04-03,88,195,89.34
52,92,2023-04-03,219,86,138.33
53,96,2023-04-03,127,150,143.41
54,98,2023-04-03,104,109,154.85
55,99,2023-04-03,143,97,186.31
56,100,2023-04-03,136,47,143.23
57,101,2023-04-03,188,30,115.51
58,102,2023-04-03,155,122,181.74
59,103,2023-04-03,118,28,121.04
60,104,2023-04-03,23,79,119.85
61,106,2023-04-03,18,77,172.3
62,107,2023-04-03,161,268,150.85
63,109,2023-04-03,158,139,190.33
64,111,2023-04-03,71,48,101.54
65,112,2023-04-03,94,69,92.08
66,113,2023-04-03,169,95,77.57
67,114,2023-04-03,34,75,44.33
68,115,2023-04-03,63,167,99.01
69,117,2023-04-03,68,219,150.1
70,118,2023-04-03,1,171,68.41
71,119,2023-04-03,124,50,60.04
72,121,2023-04-03,35,93,26.75
73,122,2023-04-03,181,190,28.54
74,124,2023-04-03,28,72,41.2
75,126,2023-04-03,122,147,138.04
76,128,2023-04-03,70,50,35.8
77,129,2023-04-03,77,103,122.76
78,130,2023-04-03,164,69,48.59
79,131,2023-04-03,209,156,34.16
80,132,2023-04-03,167,138,137.26
81,133,2023-04-03,65,198,71.54
82,137,2023-04-03,149,163,165.66
83,139,2023-04-03,102,67,69.1
84,141,2023-04-03,1,93,111.64
85,143,2023-04-03,74,91,138.98
86,144,2023-04-03,158,113,152.87
87,146,2023-04-03,208,90,89.37
88,149,2023-04-03,60,102,72.3
89,150,2023-04-03,27,90,58.05
90,153,2023-04-03,18,14,70.37
91,154,2023-04-03,28,90,40.02
92,155,2023-04-03,122,122,109.39
93,156,2023-04-03,79,145,98.48
94,158,2023-04-03,174,115,23.08
95,161,2023-04-03,82,223,60.87
96,163,2023-04-03,214,132,64.65
97,164,2023-04-03,111,91,33.58
98,165,2023-04-03,145,76,115.58
99,167,2023-04-03,98,70,62.05
100,168,2023-04-03,5,120,48.27
101,169,2023-04-03,148,208,27.64
102,170,2023-04-03,116,40,43.17
103,1,2023-04-10,106,104,46.17
104,3,2023-04-10,43,62,15.05
105,4,2023-04-10,15,142,8.52
106,5,2023-04-10,159,180,38.02
107,9,2023-04-10,81,74,20.55
108,10,2023-04-10,3,262,15.41
109,11,2023-04-10,114,165,27.82
110,13,2023-04-10,184,84,41.0
111,14,2023-04-10,101,57,33.72
112,15,2023-04-10,73,198,43.68
113,16,2023-04-10,184,99,38.09
114,17,2023-04-10,136,94,8.98
115,20,2023-04-10,33,165,19.1
116,21,2023-04-10,112,63,12.71
117,23,2023-04-10,63,93,40.08
118,25,2023-04-10,126,87,44.04
119,26,2023-04-10,121,303,25.55
120,27,2023-04-10,136,89,11.61
121,30,2023-04-10,121,261,34.66
122,31,2023-04-10,30,172,45.21
123,32,2023-04-10,16,82,35.62
124,34,2023-04-10,169,142,45.13
125,35,2023-04-10,79,58,29.28
126,38,2023-04-10,83,57,29.69
127,39,2023-04-10,134,243,33.93
128,42,2023-04-10,47,145,38.48
129,44,2023-04-10,131,253,51.33
130,48,2023-04-10,106,64,14.36
131,50,2023-04-10,116,58,22.66
132,51,2023-04-10,196,51,42.19
133,53,2023-04-10,86,49,40.4
134,55,2023-04-10,97,24,44.1
135,57,2023-04-10,50,151,34.4
136,60,2023-04-10,68,279,19.25
137,63,2023-04-10,134,190,56.86
138,64,2023-04-10,153,258,17.57
139,65,2023-04-10,80,106,51.53
140,67,2023-04-10,108,115,19.44
141,70,2023-04-10,148,90,51.44
142,71,2023-04-10,74,50,40.18
143,72,2023-04-10,147,96,54.7
144,73,2023-04-10,67,52,36.4
145,75,2023-04-10,150,84,37.74
146,82,2023-04-10,170,88,41.7
147,84,2023-04-10,48,121,38.58
148,85,2023-04-10,54,23,23.3
149,86,2023-04-10,112,93,161.53
150,87,2023-04-10,179,267,111.25
151,88,2023-04-10,161,81,166.5
152,93,2023-04-10,168,16,170.45
153,94,2023-04-10,156,165,104.54
154,96,2023-04-10,51,138,139.61
155,97,2023-04-10,191,117,103.75
156,99,2023-04-10,140,113,186.23
157,101,2023-04-10,123,171,119.73
158,103,2023-04-10,1,77,117.53
159,104,2023-04-10,118,54,121.05
160,106,2023-04-10,115,42,170.62
161,107,2023-04-10,175,109,152.26
162,109,2023-04-10,33,183,191.26
163,111,2023-04-10,149,160,102.3
164,115,2023-04-10,72,59,98.75
165,116,2023-04-10,172,88,122.12
166,117,2023-04-10,127,76,152.24
167,118,2023-04-10,25,61,68.57
168,119,2023-04-10,42,117,61.82
169,120,2023-04-10,73,93,145.61
170,121,2023-04-10,187,43,26.52
171,122,2023-04-10,158,91,29.04
172,126,2023-04-10,44,109,132.09
173,129,2023-04-10,143,94,119.45
174,130,2023-04-10,202,95,49.2
175,131,2023-04-10,24,84,33.86
176,133,2023-04-10,26,329,70.53
177,134,2023-04-10,127,82,97.25
178,136,2023-04-10,45,55,123.76
179,137,2023-04-10,15,124,162.68
180,139,2023-04-10,130,41,66.69
181,140,2023-04-10,112,42,155.25
182,142,2023-04-10,171,27,148.79
183,143,2023-04-10,94,115,138.92
184,145,2023-04-10,69,61,31.98
185,150,2023-04-10,58,50,58.12
186,155,2023-04-10,116,52,111.81
187,156,2023-04-10,43,109,98.55
188,157,2023-04-10,163,144,46.67
189,158,2023-04-10,17,140,23.09
190,159,2023-04-10,92,133,105.64
191,161,2023-04-10,183,217,60.22
192,163,2023-04-10,11,234,65.44
193,165,2023-04-10,21,55,113.17
194,167,2023-04-10,126,68,61.35
195,168,2023-04-10,123,258,48.59
196,169,2023-04-10,47,259,28.11
197,170,2023-04-10,92,11,44.79
198,1,2023-04-17,52,363,45.8
199,3,2023-04-17,218,45,15.0
200,4,2023-04-17,141,135,8.39
201,5,2023-04-17,27,49,37.13
202,7,2023-04-17,92,21,44.54
203,10,2023-04-17,206,143,15.23
204,11,2023-04-17,95,80,27.61
205,14,2023-04-17,54,59,33.02
206,15,2023-04-17,63,208,45.61
207,17,2023-04-17,20,106,8.97
208,18,2023-04-17,120,14,24.37
209,20,2023-04-17,153,138,19.65
210,21,2023-04-17,122,151,12.76
211,22,2023-04-17,100,232,16.67
212,26,2023-04-17,78,149,25.78
213,27,2023-04-17,96,132,11.42
214,28,2023-04-17,129,58,44.14
215,29,2023-04-17,174,10,34.76
216,33,2023-04-17,144,70,26.06
217,35,2023-04-17,8,106,29.57
218,38,2023-04-17,77,41,29.66
219,39,2023-04-17,138,169,33.58
220,42,2023-04-17,18,147,39.37
221,44,2023-04-17,208,144,51.7
222,45,2023-04-17,33,106,17.19
223,47,2023-04-17,35,75,9.56
224,49,2023-04-17,135,61,50.19
225,51,2023-04-17,189,52,42.31
226,52,2023-04-17,219,20,20.87
227,53,2023-04-17,125,75,39.57
228,55,2023-04-17,25,38,43.54
229,57,2023-04-17,90,137,35.63
230,58,2023-04-17,123,132,16.5
231,60,2023-04-17,199,124,19.34
232,63,2023-04-17,198,219,55.54
233,64,2023-04-17,79,47,17.72
234,65,2023-04-17,54,76,49.81
235,66,2023-04-17,178,60,46.01
236,68,2023-04-17,190,109,24.23
237,72,2023-04-17,192,139,52.9
238,73,2023-04-17,165,79,36.55
239,74,2023-04-17,1,23,38.15
240,75,2023-04-17,193,68,37.48
241,76,2023-04-17,132,54,18.84
242,79,2023-04-17,128,72,29.13
243,80,2023-04-17,155,13,23.78
244,81,2023-04-17,172,73,33.64
245,82,2023-04-17,81,131,42.34
246,84,2023-04-17,209,399,37.77
247,85,2023-04-17,205,121,24.4
248,88,2023-04-17,218,99,165.32
249,89,2023-04-17,4,34,161.79
250,91,2023-04-17,18,99,91.06
251,92,2023-04-17,26,141,138.32
252,94,2023-04-17,107,81,103.02
253,95,2023-04-17,134,147,112.6
254,96,2023-04-17,219,148,145.17
255,97,2023-04-17,88,183,100.3
256,99,2023-04-17,206,90,185.94
257,101,2023-04-17,61,49,116.92
258,102,2023-04-17,118,207,182.53
259,104,2023-04-17,81,57,116.93
260,105,2023-04-17,17,41,101.2
261,107,2023-04-17,168,143,149.61
262,108,2023-04-17,147,80,129.76
263,109,2023-04-17,206,94,188.3
264,114,2023-04-17,21,83,42.92
265,117,2023-04-17,171,57,149.66
266,119,2023-04-17,64,93,60.37
267,122,2023-04-17,89,124,28.55
268,124,2023-04-17,59,93,42.4
269,125,2023-04-17,64,86,106.36
270,126,2023-04-17,23,201,135.84
271,129,2023-04-17,31,100,120.57
272,130,2023-04-17,63,77,48.73
273,131,2023-04-17,211,99,33.59
274,132,2023-04-17,191,120,142.3
275,133,2023-04-17,195,192,71.39
276,135,2023-04-17,171,27,35.0
277,141,2023-04-17,46,61,110.39
278,142,2023-04-17,127,31,148.72
279,144,2023-04-17,154,212,151.87
280,146,2023-04-17,68,156,90.5
281,149,2023-04-17,21,11,73.49
282,154,2023-04-17,22,153,39.66
283,155,2023-04-17,48,80,110.93
284,156,2023-04-17,213,88,98.07
285,157,2023-04-17,175,88,47.03
286,158,2023-04-17,80,268,23.52
287,159,2023-04-17,180,75,107.37
288,161,2023-04-17,165,165,61.42
289,162,2023-04-17,45,41,109.01
290,163,2023-04-17,200,208,66.03
291,164,2023-04-17,106,80,34.01
292,165,2023-04-17,32,75,113.58
293,166,2023-04-17,89,62,73.71
294,167,2023-04-17,216,82,60.56
