supplier_id,supplier_name,brand,credit_days,city
1,CrispBite Distributors Pvt Ltd,CrispBite,22,Delhi
2,GoldenCrunch Distributors Pvt Ltd,GoldenCrunch,25,Gurugram
3,DailyTreat Distributors Pvt Ltd,DailyTreat,17,Gurugram
4,CrunchyKing Distributors Pvt Ltd,CrunchyKing,15,Jaipur
5,SpiceMunch Distributors Pvt Ltd,SpiceMunch,15,Faridabad
6,TastyWave Distributors Pvt Ltd,TastyWave,20,Delhi
7,PureDrop Distributors Pvt Ltd,PureDrop,21,Delhi
8,HealthGold Distributors Pvt Ltd,HealthGold,24,Gurugram
9,NaturePress Distributors Pvt Ltd,NaturePress,14,Faridabad
10,FreshGlow Distributors Pvt Ltd,FreshGlow,24,Jaipur
11,CleanAura Distributors Pvt Ltd,CleanAura,20,Gurugram
12,SilkTouch Distributors Pvt Ltd,SilkTouch,21,Faridabad
13,CoolSip Distributors Pvt Ltd,CoolSip,25,Delhi
14,FreshFizz Distributors Pvt Ltd,FreshFizz,16,Jaipur
15,NaturalBurst Distributors Pvt Ltd,NaturalBurst,20,Noida
